"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"387","Player4-Republican",2,"other",1,NA,NA,3,1,1,"Rep",6,5
"388","Player4-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",5,-1.33333333333333
"389","Player3-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",2,6
"390","Player3-Democrat",4,"outgroup",6,NA,NA,3,1,1,"Dem",2,1
"391","Player3-Democrat",4,"outgroup",2,NA,NA,3,1,2,"Dem",3,3.66666666666667
"392","Player2-Republican",3,"ingroup",4,NA,NA,3,1,2,"Rep",5,3
"393","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",1,1.33333333333333
"394","Player1-Democrat",4,"outgroup",6,NA,NA,3,1,1,"Dem",2,-3.66666666666667
"395","Player4-Republican",1,"self",7,1,1,3,1,4,"Rep",7,4.33333333333333
"396","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,3.66666666666667
"397","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",2,4.66666666666667
"398","Player1-Democrat",1,"self",5,1,1,3,1,4,"Dem",1,4
"399","Player2-Republican",1,"self",7,2,NA,3,1,4,"Rep",6,4.33333333333333
"400","Player4-Republican",3,"ingroup",4,NA,NA,3,2,2,"Rep",5,1.33333333333333
"401","Player3-Democrat",2,"other",2,NA,NA,3,2,1,"Dem",2,4.66666666666667
"402","Player1-Democrat",1,"self",5,1,1,3,1,4,"Dem",2,5
"403","Player2-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",6,0
"404","Player4-Republican",2,"other",4,NA,NA,3,2,1,"Rep",5,2
"405","Player1-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",1,3.33333333333333
"406","Player4-Republican",1,"self",6,2,NA,3,1,1,"Rep",6,0.666666666666667
"407","Player3-Democrat",4,"outgroup",2,NA,NA,3,2,2,"Dem",1,3
"408","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",7,5.66666666666667
"409","Player2-Republican",1,"self",6,1,1,3,1,1,"Rep",6,4.66666666666667
"410","Player2-Republican",2,"other",2,NA,NA,3,2,2,"Rep",4,0.666666666666667
"411","Player1-Democrat",3,"ingroup",2,NA,NA,3,1,1,"Dem",3,4.33333333333333
"412","Player3-Democrat",2,"other",4,NA,NA,3,2,1,"Dem",1,0
"413","Player1-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",2,3.66666666666667
"414","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",2,4.66666666666667
"415","Player1-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",1,3
"416","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",4,1.33333333333333
"417","Player4-Republican",4,"outgroup",3,NA,NA,3,2,2,"Rep",6,4
"418","Player4-Republican",1,"self",7,1,1,3,2,4,"Rep",5,1
"419","Player1-Democrat",3,"ingroup",3,NA,NA,3,2,2,"Dem",3,3
"420","Player3-Democrat",1,"self",3,1,1,3,2,4,"Dem",1,5
"421","Player2-Republican",4,"outgroup",4,NA,NA,3,2,2,"Rep",7,5
"422","Player2-Republican",2,"other",7,NA,NA,3,1,1,"Rep",5,5.33333333333333
"423","Player4-Republican",1,"self",6,1,1,3,1,1,"Rep",7,4.33333333333333
"424","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",3,4
"425","Player2-Republican",3,"ingroup",1,NA,NA,3,2,2,"Rep",7,6
"426","Player4-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",5,2.33333333333333
"427","Player3-Democrat",1,"self",7,2,NA,3,1,4,"Dem",1,4
"428","Player1-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",2,4
"429","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",3,1.33333333333333
"430","Player1-Democrat",2,"other",2,NA,NA,3,1,1,"Dem",4,3
"431","Player2-Republican",2,"other",2,NA,NA,3,1,2,"Rep",5,0.666666666666667
"432","Player1-Democrat",1,"self",3,1,1,3,1,4,"Dem",2,3.33333333333333
"433","Player1-Democrat",1,"self",3,1,1,3,1,4,"Dem",2,4
"434","Player3-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",1,4
"435","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",5,1.33333333333333
"436","Player3-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",2,3
"437","Player4-Republican",4,"outgroup",1,NA,NA,3,1,1,"Rep",7,6
"438","Player2-Republican",3,"ingroup",4,NA,NA,3,2,2,"Rep",3,0
"439","Player1-Democrat",2,"other",2,NA,NA,3,2,2,"Dem",1,3
"440","Player4-Republican",3,"ingroup",5,NA,NA,3,1,1,"Rep",7,3
"441","Player2-Republican",4,"outgroup",4,NA,NA,3,2,2,"Rep",5,0.666666666666667
"442","Player4-Republican",1,"self",5,1,1,3,1,1,"Rep",7,5.33333333333333
"443","Player2-Republican",2,"other",2,NA,NA,3,1,1,"Rep",6,2.66666666666667
"444","Player3-Democrat",3,"ingroup",3,NA,NA,3,2,2,"Dem",3,-0.666666666666667
"445","Player4-Republican",1,"self",7,2,NA,3,2,4,"Rep",7,3.33333333333333
"446","Player3-Democrat",3,"ingroup",6,NA,NA,3,1,1,"Dem",1,0.666666666666667
"447","Player4-Republican",1,"self",4,1,1,3,2,2,"Rep",5,2
"448","Player1-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",2,6
"449","Player3-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",2,5
"450","Player2-Republican",2,"other",5,NA,NA,3,1,1,"Rep",5,2.66666666666667
"451","Player4-Republican",2,"other",4,NA,NA,3,2,2,"Rep",5,0.666666666666667
"452","Player3-Democrat",3,"ingroup",4,NA,NA,3,2,2,"Dem",3,1
"453","Player2-Republican",1,"self",6,2,NA,3,2,1,"Rep",7,5.33333333333333
"454","Player1-Democrat",1,"self",4,1,1,3,2,2,"Dem",1,5
"455","Player3-Democrat",1,"self",4,1,1,3,1,4,"Dem",1,3
"456","Player4-Republican",3,"ingroup",3,NA,NA,3,1,1,"Rep",6,3.66666666666667
"457","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,2,"Dem",2,5
"458","Player4-Republican",2,"other",6,NA,NA,3,2,2,"Rep",5,-0.666666666666667
"459","Player2-Republican",2,"other",6,NA,NA,3,1,1,"Rep",6,5
"460","Player1-Democrat",3,"ingroup",3,NA,NA,3,1,1,"Dem",3,2.66666666666667
"461","Player4-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",4,-1
"462","Player2-Republican",3,"ingroup",2,NA,NA,3,1,1,"Rep",5,2.66666666666667
"463","Player3-Democrat",4,"outgroup",6,NA,NA,3,1,2,"Dem",2,4.66666666666667
"464","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",6,0.666666666666667
"465","Player3-Democrat",1,"self",7,2,NA,3,1,4,"Dem",1,6
"466","Player2-Republican",3,"ingroup",2,NA,NA,3,1,2,"Rep",7,5
"467","Player1-Democrat",1,"self",6,2,NA,3,2,4,"Dem",3,2.66666666666667
"468","Player2-Republican",1,"self",2,1,1,3,1,1,"Rep",4,1
"469","Player1-Democrat",2,"other",5,NA,NA,3,1,1,"Dem",1,-3
"470","Player2-Republican",3,"ingroup",6,NA,NA,3,1,1,"Rep",6,3.33333333333333
"471","Player1-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",2,5.66666666666667
"472","Player1-Democrat",1,"self",4,1,1,3,1,1,"Dem",1,2.33333333333333
"473","Player4-Republican",4,"outgroup",2,NA,NA,3,2,2,"Rep",5,0
"474","Player2-Republican",4,"outgroup",1,NA,NA,3,2,2,"Rep",6,2.33333333333333
"475","Player3-Democrat",2,"other",3,NA,NA,3,2,2,"Dem",2,5.66666666666667
"476","Player3-Democrat",4,"outgroup",4,NA,NA,3,2,1,"Dem",5,0.333333333333333
"477","Player4-Republican",1,"self",6,2,NA,3,1,1,"Rep",3,0
"478","Player4-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",6,2.33333333333333
"479","Player2-Republican",3,"ingroup",5,NA,NA,3,1,1,"Rep",6,2
"480","Player3-Democrat",2,"other",4,NA,NA,3,2,2,"Dem",2,1.66666666666667
"481","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",5,1
"482","Player3-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",3,NA
"483","Player4-Republican",1,"self",7,2,NA,3,1,4,"Rep",6,6
"484","Player1-Democrat",1,"self",7,1,1,3,1,4,"Dem",1,6
"485","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",3,5
"486","Player4-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",6,4.33333333333333
"487","Player1-Democrat",4,"outgroup",4,NA,NA,3,2,2,"Dem",1,5.66666666666667
"488","Player1-Democrat",3,"ingroup",2,NA,NA,3,1,1,"Dem",4,4
"489","Player2-Republican",1,"self",3,1,1,3,1,1,"Rep",4,4
"490","Player4-Republican",2,"other",2,NA,NA,3,1,1,"Rep",6,-2
"491","Player3-Democrat",2,"other",1,NA,NA,3,2,2,"Dem",1,-3
"492","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",2,1
"493","Player2-Republican",3,"ingroup",5,NA,NA,3,1,1,"Rep",5,3
"494","Player1-Democrat",1,"self",4,1,1,3,2,4,"Dem",2,1.33333333333333
"495","Player4-Republican",3,"ingroup",6,NA,NA,3,1,1,"Rep",6,2.66666666666667
"496","Player4-Republican",2,"other",4,NA,NA,3,1,1,"Rep",6,4
"497","Player3-Democrat",1,"self",3,1,1,3,2,4,"Dem",1,5
"498","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,2,"Dem",2,1.33333333333333
"499","Player4-Republican",2,"other",3,NA,NA,3,1,2,"Rep",7,-0.666666666666667
"500","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",5,2
"501","Player2-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",4,0
"502","Player3-Democrat",2,"other",3,NA,NA,3,1,1,"Dem",2,5
"503","Player2-Republican",1,"self",1,1,1,3,2,4,"Rep",7,2.33333333333333
"504","Player4-Republican",3,"ingroup",7,NA,NA,3,1,1,"Rep",4,2
"505","Player1-Democrat",4,"outgroup",2,NA,NA,3,2,2,"Dem",1,5.66666666666667
