"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"130","Player2-Underestimator",1,"self",4,1,1,3,2,2,4,4.66666666666667
"131","Player4-Underestimator",3,"ingroup",3,NA,NA,3,1,1,4,2.33333333333333
"132","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,1,6,0
"133","Player4-Underestimator",3,"ingroup",6,NA,NA,3,1,1,3,-1.33333333333333
"134","Player3-Overestimator",1,"self",2,1,1,3,2,2,5,0
"135","Player1-Overestimator",1,"self",7,2,NA,3,1,2,5,2.33333333333333
"136","Player2-Underestimator",4,"outgroup",3,NA,NA,3,1,1,2,1
"137","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,2,1.33333333333333
"138","Player3-Overestimator",1,"self",7,2,NA,3,1,1,6,0
"139","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,2,0
"140","Player3-Overestimator",2,"other",6,NA,NA,3,2,2,3,0.666666666666667
"141","Player1-Overestimator",3,"ingroup",7,NA,NA,3,1,1,4,2
"142","Player3-Overestimator",2,"other",7,NA,NA,3,1,1,4,2.33333333333333
"143","Player2-Underestimator",4,"outgroup",6,NA,NA,3,1,1,7,-1
"144","Player2-Underestimator",1,"self",7,2,NA,3,1,1,1,2.33333333333333
"145","Player4-Underestimator",1,"self",5,1,1,3,1,1,4,-0.333333333333333
"146","Player1-Overestimator",4,"outgroup",2,NA,NA,3,1,1,4,0
"147","Player4-Underestimator",3,"ingroup",3,NA,NA,3,1,1,1,0
"148","Player2-Underestimator",1,"self",3,1,1,3,1,1,4,3
"149","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,1,5
"150","Player4-Underestimator",1,"self",2,1,1,3,1,1,2,1.66666666666667
"151","Player4-Underestimator",2,"other",6,NA,NA,3,1,1,2,3.66666666666667
"152","Player1-Overestimator",4,"outgroup",2,NA,NA,3,1,1,2,4.33333333333333
"153","Player3-Overestimator",2,"other",4,NA,NA,3,2,2,5,0
"154","Player2-Underestimator",3,"ingroup",5,NA,NA,3,1,1,7,3
"155","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,2,0
"156","Player3-Overestimator",2,"other",4,NA,NA,1,1,1,3,0
"157","Player4-Underestimator",1,"self",6,1,1,3,1,1,7,4
"158","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,2,0
"159","Player1-Overestimator",3,"ingroup",5,NA,NA,3,1,1,1,0
"160","Player2-Underestimator",1,"self",6,1,1,3,1,1,2,-0.333333333333333
"161","Player3-Overestimator",4,"outgroup",7,NA,NA,3,1,1,1,0
"162","Player3-Overestimator",1,"self",7,2,NA,3,2,2,2,2.66666666666667
"163","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,4,-0.333333333333333
"164","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,6,1.66666666666667
"165","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,1,0
"166","Player3-Overestimator",3,"ingroup",5,NA,NA,3,1,1,2,4
"167","Player4-Underestimator",2,"other",3,NA,NA,3,1,2,2,0.666666666666667
"168","Player2-Underestimator",2,"other",2,NA,NA,3,1,2,4,-0.666666666666667
"169","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,2,0
"170","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,2,2
"171","Player1-Overestimator",1,"self",4,1,1,3,1,1,4,0
"172","Player2-Underestimator",1,"self",6,1,1,3,1,1,6,4
"173","Player3-Overestimator",3,"ingroup",1,NA,NA,3,1,1,4,1
"174","Player1-Overestimator",4,"outgroup",7,NA,NA,3,2,1,7,0
"175","Player1-Overestimator",1,"self",1,1,1,3,2,2,1,1.33333333333333
"176","Player1-Overestimator",4,"outgroup",2,NA,NA,3,1,1,4,0
"177","Player2-Underestimator",1,"self",3,1,1,3,2,1,1,0
"178","Player4-Underestimator",2,"other",6,NA,NA,3,1,1,4,0.666666666666667
"179","Player4-Underestimator",4,"outgroup",4,NA,NA,3,1,1,2,2
"180","Player1-Overestimator",1,"self",4,1,1,3,1,2,3,0
"181","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,4,0
"182","Player4-Underestimator",4,"outgroup",5,NA,NA,5,1,1,1,0
"183","Player3-Overestimator",1,"self",4,1,1,3,1,1,4,2
"184","Player2-Underestimator",3,"ingroup",3,NA,NA,3,1,1,4,0
"185","Player3-Overestimator",4,"outgroup",2,NA,NA,3,1,1,5,4.66666666666667
"186","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,1,4,0
"187","Player2-Underestimator",1,"self",7,2,NA,3,1,1,3,0
"188","Player4-Underestimator",4,"outgroup",6,NA,NA,3,2,2,2,0
"189","Player1-Overestimator",2,"other",2,NA,NA,3,1,1,4,1.33333333333333
"190","Player3-Overestimator",1,"self",4,2,NA,3,1,2,2,-0.666666666666667
"191","Player4-Underestimator",2,"other",3,NA,NA,3,1,2,1,-1
"192","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,2,2,0.333333333333333
"193","Player1-Overestimator",1,"self",4,1,1,3,1,1,4,3
"194","Player2-Underestimator",1,"self",6,1,1,3,1,2,2,0.333333333333333
"195","Player4-Underestimator",2,"other",5,NA,NA,3,1,1,2,3
"196","Player4-Underestimator",2,"other",3,NA,NA,1,1,1,2,0
"197","Player2-Underestimator",1,"self",7,2,NA,3,1,2,4,0.333333333333333
"198","Player3-Overestimator",2,"other",2,NA,NA,3,1,1,1,2
"199","Player4-Underestimator",3,"ingroup",5,NA,NA,3,1,1,2,2.66666666666667
"200","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,1,0.666666666666667
"201","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,1,1
"202","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,2,2.66666666666667
"203","Player1-Overestimator",3,"ingroup",3,NA,NA,3,1,1,1,0
"204","Player2-Underestimator",2,"other",7,NA,NA,3,1,1,1,1.66666666666667
"205","Player4-Underestimator",4,"outgroup",5,NA,NA,3,2,2,5,0
"206","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,4,2.66666666666667
"207","Player1-Overestimator",1,"self",2,1,1,3,2,1,1,0.333333333333333
"208","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,2,3,0
"209","Player2-Underestimator",2,"other",2,NA,NA,3,1,1,3,1.33333333333333
"210","Player1-Overestimator",2,"other",3,NA,NA,3,2,1,3,0
"211","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,3,3
"212","Player4-Underestimator",4,"outgroup",4,NA,NA,3,2,2,1,0
