"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"528","Player1-Overestimator",4,"outgroup",4,NA,NA,3,2,2,4,0
"529","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,4,NA
"530","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,2,3,2.66666666666667
"531","Player1-Overestimator",4,"outgroup",2,NA,NA,3,1,1,3,0
"532","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,2,4
"533","Player4-Underestimator",2,"other",7,NA,NA,3,1,1,1,6
"534","Player2-Underestimator",2,"other",5,NA,NA,3,1,1,2,0.333333333333333
"535","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,3,0
"536","Player3-Overestimator",1,"self",7,2,NA,3,1,1,7,4.33333333333333
"537","Player1-Overestimator",3,"ingroup",3,NA,NA,3,1,1,4,0
"538","Player2-Underestimator",4,"outgroup",4,NA,NA,3,2,2,1,3
"539","Player4-Underestimator",1,"self",1,1,1,3,1,1,4,0
"540","Player3-Overestimator",2,"other",5,NA,NA,3,1,1,1,1.66666666666667
"541","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,3,0
"542","Player1-Overestimator",3,"ingroup",2,NA,NA,3,2,2,1,1
"543","Player2-Underestimator",1,"self",3,1,1,3,1,2,5,2
"544","Player4-Underestimator",1,"self",5,1,1,3,1,1,1,2
"545","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,1,1.66666666666667
"546","Player3-Overestimator",4,"outgroup",6,NA,NA,3,1,1,7,3
"547","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,4,1
"548","Player2-Underestimator",3,"ingroup",3,NA,NA,3,1,1,3,1.33333333333333
"549","Player2-Underestimator",2,"other",4,NA,NA,3,2,1,4,0
"550","Player1-Overestimator",1,"self",7,2,NA,3,1,1,3,3
"551","Player1-Overestimator",2,"other",6,NA,NA,3,1,1,4,2.33333333333333
"552","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,1,-1.33333333333333
"553","Player4-Underestimator",4,"outgroup",6,NA,NA,3,1,1,6,5.33333333333333
"554","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,2,6
"555","Player4-Underestimator",2,"other",3,NA,NA,3,2,2,1,1.33333333333333
"556","Player1-Overestimator",1,"self",4,2,NA,3,2,2,1,0
"557","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,4,0.666666666666667
"558","Player4-Underestimator",4,"outgroup",5,NA,NA,3,1,1,2,0.333333333333333
"559","Player2-Underestimator",1,"self",2,1,1,3,1,2,2,0
"560","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,2,-0.666666666666667
"561","Player4-Underestimator",2,"other",3,NA,NA,3,1,1,2,-1.66666666666667
